recency,frequency,monetary_value
1183,9,269.91
888,1,118.7
873,1,159.9
1136,1,45.0
1049,2,39.8
1268,1,147.9
1357,1,49.9
1322,5,299.95
1435,3,59.7
1248,6,899.94
1322,4,396.0
1264,2,196.0
935,1,31.9
887,49,975.1
1033,4,153.0
935,1,132.4
1091,1,1299.0
1098,3,83.97
1133,49,877.1
1159,9,684.0
1197,2,219.8
1019,3,239.97
1059,3,28.5
1085,1,129.99
872,3,269.70000000000005
1042,3,329.7000000000001
938,104,4416.4
1022,1,47.9
971,2,357.98
1037,4,120.4
1236,2,558.0
987,2,373.8
1112,3,147.0
1059,1,84.9
883,3,537.0
1045,2,156.0
1041,1,39.9
1246,4,111.6
941,1,445.0
1008,49,1808.1
1319,1,119.99
1130,1,339.0
1242,1,69.9
877,1,99.0
938,3,43.47
1320,1,139.0
1324,1,36.9
956,2,139.8
883,4,135.6
1237,2,230.0
1061,4,157.88
916,2,106.88
886,4,240.0
1109,2,738.0
1215,1,38.4
931,2,239.8
931,4,119.96
1025,4,91.96
1386,49,4160.0999999999985
1294,4,452.0
1124,1,79.9
876,1,39.9
1139,1,299.0
1043,5,139.5
981,4,636.0
981,4,636.0
1086,12,3958.8
1052,1,24.89
924,32,2716.8
929,4,171.96
897,5,139.5
1202,1,50.0
990,5,950.0
1047,1,42.9
1407,1,69.9
1348,25,950.0
1200,12,683.88
884,3,74.97
1237,6,1314.0
855,8,744.0
1247,3,59.97
1102,1,45.0
1362,1,58.2
1329,49,5438.509999999998
1348,49,1886.5
1169,3,539.97
1116,1,544.0
1220,49,726.18
1035,4,1579.6
962,5,249.5
1071,1,89.18
972,4,119.96
1196,3,176.97
992,4,393.76
1104,1,219.9
981,1,759.0
878,2,131.8
959,10,109.0
1132,49,4111.0999999999985
1369,98,1754.2000000000005
937,1,99.2
855,2,320.0
1321,1,29.9
882,3,41.97
878,1,35.0
1033,1,535.9
1056,4,279.6
1430,2,1179.8
1066,1,27.3
1276,1,235.99
1188,1,19.9
1126,3,77.97
1061,5,92.5
